"initial_alias","converted_alias","name","description","namespace"
"DNMT3B","6KDT","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6PA7","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6R3E","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6U8P","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6U8V","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6U8W","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6U8X","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6U90","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","6U91","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3B","7O45","DNMT3B","DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DROSHA","2KHX","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DROSHA","2NA2","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DROSHA","5B16","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DROSHA","6LXD","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DROSHA","6LXE","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DROSHA","6V5B","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DROSHA","6V5C","DROSHA","drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DUS3L","None","None","None",""
"E4F1","None","None","None",""
"EEF2","4V6X","EEF2","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EEF2","6D9J","EEF2","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EEF2","6Z6M","EEF2","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EEF2","6Z6N","EEF2","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","3JCR","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","5MQF","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","5O9Z","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","5XJC","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","5YZG","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","5Z56","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","5Z57","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","5Z58","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6AH0","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6AHD","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6FF4","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6FF7","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6ICZ","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6ID0","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6ID1","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6QDV","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6QW6","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6QX9","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","6ZYM","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","7AAV","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","7ABF","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","7ABG","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","7ABI","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EFTUD2","7DVQ","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK1","None","None","None",""
"EIF2AK2","1QU6","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK2","2A19","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK2","2A1A","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK2","3UIU","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK2","6D3K","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2AK2","6D3L","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","6CAJ","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","6EZO","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","6K71","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","6K72","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","6O81","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","6O85","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","6O9Z","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7D43","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7D44","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7D45","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7D46","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7F64","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7F66","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7F67","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7KMF","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7L70","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7L7G","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7RLO","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2B3","7VLK","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","1KL9","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","1Q8K","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6K71","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6K72","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6O81","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6O85","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6O9Z","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6YBV","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6ZMW","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","6ZP4","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","7A09","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","7D43","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","7D44","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","7D45","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","7F66","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","7F67","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S1","7NZM","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S2","6K71","EIF2S2","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S2","6K72","EIF2S2","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S2","6YBV","EIF2S2","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S2","6ZMW","EIF2S2","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S2","6ZP4","EIF2S2","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S2","7A09","EIF2S2","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S2","7D43","EIF2S2","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","3J8B","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","3J8C","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","6YBD","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","6YBT","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","6ZMW","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","6ZON","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","6ZP4","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","6ZVJ","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3A","7A09","EIF3A","eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3D","6YBD","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3D","6YBS","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3D","6ZMW","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3D","6ZON","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3D","6ZP4","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3D","6ZVJ","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3D","7A09","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3G","2CQ0","EIF3G","eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3G","2MJC","EIF3G","eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3G","5K0Y","EIF3G","eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3G","6YBS","EIF3G","eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3G","6ZMW","EIF3G","eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","3J8B","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","3J8C","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","6YBD","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","6ZMW","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","6ZON","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","6ZP4","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","6ZVJ","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3H","7A09","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","2HXY","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","2HYI","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","2J0Q","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","2J0S","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","2J0U","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","2XB2","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","3EX7","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","4C9B","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF4A3","5MQF","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
